    Universidad de Costa Rica   
       Proyecto Eléctrico       
         II Ciclo 2017          
          openHand_Right.csv        
 Author: Pablo Avila B30724     

 Media:
 Max Deviation:
 Standar Deviation:

,LEFT HAND:, , , , , , , , , , , , , , , , , , , , RIGHT HAND:
,Thumb, , , ,Index, , , ,Middle, , , ,Ring, , , ,Pinky, , , ,Thumb, , , ,Index, , , ,Middle, , , ,Ring, , , ,Pinky
,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.3595,76.3931,95.6584,21.7481,48.5545,77.0339,95.457,12.6899,46.4613,82.3141,104.422,20.0172,42.5718,74.6548,95.7902,33.2505,45.086,64.1508,78.8728,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.3566,76.3901,95.6554,21.7481,48.5554,77.0353,95.4585,12.6899,46.4648,82.3197,104.429,20.0172,42.5678,74.6497,95.7862,33.2504,45.0878,64.1545,78.8781,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.354,76.3966,95.6894,21.7481,48.5564,77.0369,95.4602,12.6899,46.4674,82.3238,104.434,20.0172,42.5634,74.6446,95.783,33.2505,45.0888,64.1568,78.8818,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.348,76.3883,95.6843,21.7481,48.5581,77.04,95.4642,12.6899,46.4711,82.3298,104.441,20.0172,42.56,74.6398,95.7784,33.2505,45.0888,64.157,78.882,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.339,76.3781,95.6866,21.7481,48.5601,77.0434,95.4683,12.6899,46.4749,82.3358,104.448,20.0172,42.5629,74.6457,95.7874,33.2505,45.0889,64.1576,78.8835,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.3269,76.3704,95.7076,21.7481,48.5632,77.0486,95.4743,12.6899,46.478,82.3406,104.454,20.0172,42.5646,74.6497,95.7942,33.2504,45.0888,64.1574,78.8833,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.3145,76.3619,95.7244,21.7481,48.5651,77.052,95.4786,12.6899,46.4817,82.3462,104.46,20.0172,42.5675,74.656,95.8042,33.2505,45.0891,64.158,78.8843,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.3023,76.3549,95.7464,21.7481,48.5681,77.057,95.4845,12.6899,46.4865,82.3536,104.469,20.0172,42.5699,74.661,95.8121,33.2505,45.091,64.1617,78.8893,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.2921,76.3541,95.7799,21.7481,48.5723,77.064,95.4924,12.6899,46.4907,82.3602,104.477,20.0172,42.5712,74.6647,95.8189,33.2505,45.0937,64.1671,78.8962,
, , , , , , , , , , , , , , , , , , , , ,57.8158,57.2809,76.3417,95.7811,21.7481,48.5763,77.0707,95.5002,12.6899,46.4953,82.3672,104.485,20.0172,42.573,74.6688,95.8258,33.2505,45.096,64.1717,78.9027,
